0.7417490000,14,0.1,0.09429671438
0.7417490000,24,0.01,0.009260422582
0.7417490000,36,0.001,0.0009979495226
0.7417490000,46,0.0001,4.547392852e-05
0.7417490000,58,1e-05,4.776833623e-06
0.7417490000,68,1e-06,8.912194541e-07
1.5111600000,14,0.1,0.07299344212
1.5111600000,24,0.01,0.005935921839
1.5111600000,36,0.001,0.0009404640761
1.5111600000,46,0.0001,7.901070849e-05
1.5111600000,54,1e-05,7.138405615e-06
1.5111600000,70,1e-06,9.804074983e-07
-1.3356400000,16,0.1,0.08659771183
-1.3356400000,26,0.01,0.007312833248
-1.3356400000,36,0.001,0.0006202887537
-1.3356400000,48,0.0001,7.076329498e-05
-1.3356400000,58,1e-05,7.004804478e-06
-1.3356400000,70,1e-06,5.477572654e-07
-0.4332820000,14,0.1,0.07851823
-0.4332820000,24,0.01,0.00463118721
-0.4332820000,36,0.001,0.0007723433014
-0.4332820000,48,0.0001,9.692241853e-05
-0.4332820000,60,1e-05,7.189977919e-06
